Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0402_1005Metric",141.000000,-81.020000,-90.000000,top
"C2","100n","C_0402_1005Metric",132.520000,-77.000000,0.000000,top
"C3","100n","C_0402_1005Metric",126.500000,-81.000000,-90.000000,top
"C4","100n","C_0402_1005Metric",128.500000,-81.020000,-90.000000,top
"C5","10u","C_0603_1608Metric",137.275000,-90.500000,180.000000,top
"C6","10n","C_0402_1005Metric",129.480000,-91.500000,180.000000,top
"C7","1u","C_0402_1005Metric",129.480000,-90.000000,180.000000,top
"C8","1u","C_0402_1005Metric",129.480000,-88.500000,180.000000,top
"C9","100n","C_0402_1005Metric",124.020000,-81.500000,0.000000,top
"C10","10p","C_0402_1005Metric",128.000000,-84.980000,90.000000,top
"C11","10p","C_0402_1005Metric",122.500000,-85.020000,-90.000000,top
"C12","22u","C_0805_2012Metric",146.050000,-90.000000,0.000000,top
"C13","22u","C_0805_2012Metric",153.000000,-93.450000,90.000000,top
"D1","LED","LED_0603_1608Metric",153.500000,-97.287500,90.000000,top
"FB1","120R","L_0603_1608Metric",125.500000,-90.212500,90.000000,top
"J1","USB_B_Micro","USB_Micro-B_Wuerth_629105150521",159.800000,-82.625000,90.000000,top
"J2","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",136.500000,-72.500000,-90.000000,top
"J3","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",150.620000,-72.500000,-90.000000,top
"J4","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",130.380000,-97.000000,90.000000,top
"R1","10K","R_0402_1005Metric",127.490000,-76.500000,0.000000,top
"R2","1k5","R_0402_1005Metric",143.500000,-82.000000,-90.000000,top
"R3","1k5","R_0402_1005Metric",155.500000,-94.510000,90.000000,top
"R4","1k5","R_0402_1005Metric",140.490000,-91.500000,0.000000,top
"R5","1k5","R_0402_1005Metric",133.490000,-91.500000,0.000000,top
"SW1","SW_SPDT","SW_SPDT_PCM12",118.330000,-76.000000,-90.000000,top
"U1","STM32F103C8Tx","LQFP-48_7x7mm_P0.5mm",134.837500,-83.250000,0.000000,top
"U2","AMS1117-3.3","SOT-223-3_TabPin2",148.000000,-95.850000,-90.000000,top
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",125.150000,-85.100000,90.000000,top
