Designator,Mid X,Mid Y,Rotation,Layer
C1,141.0,-81.02,270.0,top
C10,128.0,-84.98,90.0,top
C11,122.5,-85.02,270.0,top
C12,146.05,-90.0,0.0,top
C13,153.0,-93.45,90.0,top
C2,132.52,-77.0,0.0,top
C3,126.5,-81.0,270.0,top
C4,128.5,-81.02,270.0,top
C5,137.275,-90.5,180.0,top
C6,129.48,-91.5,180.0,top
C7,129.48,-90.0,180.0,top
C8,129.48,-88.5,180.0,top
C9,124.02,-81.5,0.0,top
D1,153.5,-97.2875,90.0,top
FB1,125.5,-90.2125,90.0,top
J1,159.8,-82.625,90.0,top
J2,132.7,-72.5,270.0,top
J3,146.82,-72.5,270.0,top
J4,134.18,-97.0,90.0,top
R1,127.49,-76.5,0.0,top
R2,143.5,-82.0,270.0,top
R3,155.5,-94.51,90.0,top
R4,140.49,-91.5,0.0,top
R5,133.49,-91.5,0.0,top
SW1,118.33,-76.0,270.0,top
U1,134.8375,-83.25,270.0,top
U2,148.0,-95.85,90.0,top
Y1,125.15,-85.1,90.0,top
